cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
b,g,u,f,n,d,c,b,k,t,b,f,y,e,e,p,o,b,l,u,a,g
f,s,n,f,n,f,w,b,w,t,z,s,s,o,o,p,y,o,s,k,v,u
s,y,e,t,n,f,c,b,w,e,b,y,s,p,g,p,w,o,p,o,y,d
f,s,p,f,n,a,c,b,e,e,e,f,f,e,w,p,n,b,e,u,s,p
b,s,n,t,a,f,c,b,n,t,b,s,s,p,n,u,y,b,p,k,a,g
k,s,w,t,n,a,w,b,g,e,z,s,f,w,w,p,n,o,e,n,s,g
f,s,e,f,n,f,w,n,e,t,e,s,s,e,w,u,w,o,e,u,a,g
f,f,n,f,y,f,c,b,h,t,e,s,k,g,g,u,w,o,e,h,s,m
b,s,n,f,p,f,c,n,k,e,b,k,s,n,w,p,w,o,n,k,v,u
x,f,n,t,p,f,c,b,p,e,b,s,f,w,w,p,n,o,p,k,v,u
f,s,n,f,c,n,d,b,b,t,u,s,s,w,c,u,y,t,e,n,s,g
f,y,p,t,p,a,c,n,n,e,e,f,f,w,w,p,n,b,p,h,s,u
x,f,n,t,c,a,d,b,b,e,u,f,f,p,g,p,w,o,p,b,n,m
x,f,g,t,n,a,d,b,r,t,r,s,s,w,p,p,n,o,e,n,y,m
f,y,n,f,a,f,w,n,p,t,e,k,f,n,w,u,w,b,e,n,a,u
f,f,b,t,n,f,c,b,e,t,b,y,y,g,g,p,w,b,f,u,s,m
f,g,n,t,m,d,d,b,b,e,u,y,y,p,p,p,o,t,f,o,n,u
c,g,w,t,l,d,w,n,g,t,z,f,f,b,w,u,w,o,e,k,s,g
b,f,r,t,l,f,c,b,o,e,c,s,s,w,w,p,w,b,e,k,a,w
b,g,w,f,n,f,w,b,o,t,b,y,s,w,w,p,o,o,f,u,a,p
x,f,r,t,m,f,d,b,b,e,b,f,f,p,g,p,n,t,p,o,n,d
x,s,c,f,n,f,w,n,n,t,z,s,s,g,w,p,y,o,s,k,v,w
f,s,p,t,n,f,w,b,n,e,e,f,f,n,w,p,n,o,e,k,a,u
f,y,w,t,p,f,c,b,n,e,e,f,s,w,w,p,n,o,p,h,s,l
x,f,w,f,n,f,c,n,u,t,b,s,s,w,c,u,w,t,p,n,v,d
x,g,n,t,c,f,c,b,b,e,u,y,s,c,w,p,o,o,l,k,s,u
k,y,n,f,p,f,w,n,w,t,e,s,s,w,w,p,w,o,p,w,v,l
k,f,g,t,n,a,w,b,p,t,b,f,s,p,b,p,n,o,p,n,v,l
f,f,n,t,y,a,w,b,o,t,b,f,f,g,g,p,w,o,e,n,a,g
x,y,u,f,n,f,c,b,k,t,b,k,k,e,w,u,w,b,p,n,y,d
x,f,c,f,n,f,c,b,h,e,b,s,f,n,w,p,n,b,c,k,a,g
x,f,r,t,n,f,d,b,u,t,e,s,y,e,e,p,o,o,f,n,s,u
s,s,p,f,n,f,d,b,y,t,e,k,s,p,p,p,w,o,e,n,y,g
f,f,b,f,n,n,c,n,h,t,e,s,s,w,n,p,w,b,e,k,a,g
b,g,r,t,n,d,w,b,o,t,e,f,f,w,w,p,o,b,l,k,a,d
s,s,n,f,n,f,w,n,r,t,e,k,f,y,y,p,w,t,e,y,y,g
f,g,n,t,n,d,c,b,w,t,b,y,y,n,g,p,o,b,p,n,v,m
x,y,e,f,n,n,c,n,u,t,b,s,s,y,w,u,y,o,z,n,v,d
f,s,n,t,n,f,w,b,k,t,e,f,f,e,e,p,w,o,c,k,s,g
x,f,u,t,c,f,d,b,w,t,u,k,k,g,g,u,w,o,n,k,n,d
f,y,c,t,p,f,c,n,w,e,u,k,s,p,p,u,w,o,p,o,v,p
x,y,g,t,l,a,d,b,n,e,r,s,y,w,p,p,n,t,p,n,y,g
f,s,r,f,p,f,c,n,w,e,z,s,s,b,b,p,w,o,s,k,s,l
f,f,b,f,n,n,w,b,w,t,e,f,s,b,b,p,n,o,e,n,v,p
b,f,n,f,n,f,w,b,n,t,b,f,f,w,w,u,w,o,e,k,a,l
f,s,p,t,p,n,c,n,w,t,e,s,s,w,w,u,y,b,p,n,s,g
x,f,n,f,a,f,c,b,k,e,e,f,f,n,n,p,n,b,e,k,a,g
x,f,n,f,p,d,w,b,g,e,e,y,y,w,w,p,w,o,l,k,v,d
x,f,g,f,n,n,c,b,h,t,e,s,s,n,w,u,y,o,p,k,s,d
f,s,n,f,n,n,w,n,k,t,b,s,s,e,e,u,w,b,e,u,a,u
c,f,g,f,n,a,w,b,n,e,c,f,s,w,o,p,w,o,e,n,s,m
c,s,b,t,f,d,w,b,p,t,c,y,y,w,w,p,o,o,l,r,c,m
c,f,b,f,n,n,w,n,n,t,c,f,s,o,w,u,w,o,z,r,c,g
f,f,w,t,n,a,w,b,n,e,b,f,f,w,w,p,n,b,e,u,a,d
s,y,g,f,a,f,d,n,n,t,b,k,k,w,p,u,w,t,n,o,y,d
f,f,b,t,s,a,d,b,r,e,e,f,f,w,y,p,n,o,e,n,y,p
x,s,c,t,f,n,w,n,g,t,b,s,s,w,w,p,w,o,p,w,c,l
x,s,n,t,n,n,w,n,g,t,z,s,s,g,p,u,y,o,s,k,v,d
x,y,n,f,n,f,c,b,u,t,u,k,k,p,g,p,w,t,n,o,n,u
x,g,e,f,n,d,w,b,k,e,e,y,y,g,g,p,o,o,l,k,s,g
x,y,r,f,n,f,d,b,u,t,b,k,k,c,c,p,w,o,n,n,n,w
x,f,w,t,n,f,c,b,n,t,b,s,k,p,p,u,w,o,p,u,a,d
x,f,g,t,c,f,w,b,b,t,u,f,s,w,w,p,n,o,e,k,n,g
c,f,p,t,p,f,c,b,n,t,c,k,s,w,w,u,w,o,p,n,v,g
x,s,n,f,n,f,w,n,h,t,e,s,f,p,p,u,y,t,e,o,n,g
x,y,w,t,m,f,d,b,u,e,u,s,s,w,p,p,o,o,f,k,n,m
s,y,y,t,s,f,c,b,u,t,b,s,s,w,p,u,w,o,p,y,y,u
f,s,y,t,n,a,w,b,h,e,c,s,f,b,b,p,w,o,e,n,s,g
s,f,e,f,n,f,c,n,w,t,r,k,k,p,p,p,w,o,p,k,y,d
f,y,n,t,n,f,c,n,p,t,b,k,s,g,g,p,w,o,n,k,y,d
x,f,b,t,n,f,c,b,u,t,e,s,s,n,g,p,n,b,e,k,v,d
s,f,g,t,n,f,w,b,p,e,r,s,s,y,y,p,n,t,e,n,a,m
b,y,n,f,n,f,c,n,k,t,b,f,k,g,g,u,w,o,e,h,a,l
x,f,g,f,n,f,w,b,h,t,e,f,k,g,w,u,w,b,p,h,a,g
c,f,e,t,l,a,w,b,n,e,e,s,s,b,w,p,n,o,e,k,a,w
b,y,r,t,n,f,c,b,w,e,b,s,y,w,p,p,o,o,p,h,a,d
k,f,g,t,p,a,w,b,w,t,b,s,f,w,w,p,n,o,c,n,y,d
f,f,n,f,n,f,d,n,u,t,b,k,k,c,c,u,w,t,p,k,n,d
x,f,n,f,n,f,w,n,w,t,e,k,f,w,w,p,w,o,p,n,v,p
x,s,n,f,n,f,d,n,n,t,u,s,f,w,c,u,w,t,e,b,n,g
x,s,w,f,n,f,w,n,p,t,e,s,s,w,b,p,w,o,z,k,s,g
x,g,y,t,f,d,w,b,h,t,e,s,k,w,w,u,w,o,p,k,s,g
x,g,p,t,p,d,w,b,n,e,b,s,s,w,w,p,o,o,l,w,v,d
x,f,u,f,n,n,w,n,b,t,e,f,s,p,p,u,w,o,e,k,n,p
b,y,c,t,y,n,c,b,k,t,b,s,s,g,g,p,y,o,s,h,v,d
f,s,r,f,n,n,c,b,n,t,b,s,s,w,n,u,y,o,z,n,y,d
x,y,b,f,s,f,d,n,r,t,e,k,k,w,w,u,w,t,e,n,a,g
x,y,c,t,f,a,c,b,g,e,c,f,f,w,w,p,n,o,c,r,s,l
x,y,p,f,n,f,c,b,p,t,e,k,k,w,e,u,w,o,p,n,s,w
b,f,w,t,n,f,w,b,p,e,e,s,s,g,w,p,w,b,e,h,a,g
f,y,n,f,y,f,c,n,h,t,e,s,s,g,g,u,w,b,p,h,v,g
f,f,w,f,n,f,w,b,k,e,e,f,f,n,n,p,w,b,c,k,s,g
f,f,g,t,c,f,c,b,b,t,b,f,f,c,p,p,n,o,c,b,v,u
x,f,n,t,n,a,c,b,e,t,e,s,s,e,e,p,n,b,c,n,s,u
k,f,w,f,n,n,w,n,p,t,z,s,f,o,w,u,y,o,s,r,v,u
x,s,w,t,a,d,c,b,y,e,c,y,s,p,p,p,w,t,p,o,y,p
b,y,g,f,n,f,c,b,n,t,b,f,k,w,w,u,w,b,n,u,s,g
f,y,n,t,a,f,c,n,n,t,b,s,s,n,w,p,w,o,s,n,a,p
f,f,e,f,s,a,d,b,p,e,e,f,s,w,w,p,n,o,e,n,y,g
x,y,p,t,n,f,c,n,e,t,b,s,k,e,w,u,w,o,p,u,v,d
x,f,p,f,c,f,w,n,y,t,r,s,f,w,c,p,w,t,p,n,y,d
x,g,w,t,n,f,c,b,u,t,b,y,y,p,g,p,w,b,f,h,a,d
x,y,e,f,n,f,c,b,p,t,b,k,k,e,p,u,w,b,p,u,a,p
b,s,c,t,p,f,c,b,o,e,e,s,f,e,w,p,n,o,p,u,a,u
x,g,c,f,n,d,d,b,p,e,u,s,s,p,p,p,w,t,l,n,n,l
x,f,n,t,n,d,d,b,b,e,u,s,y,w,g,p,o,t,p,o,n,u
x,f,g,t,n,f,d,b,n,t,b,s,f,c,p,p,n,o,c,b,n,d
s,g,g,t,s,f,d,b,n,t,b,y,s,y,y,p,w,o,p,y,v,d
f,f,p,t,a,d,c,b,e,e,e,s,s,n,n,p,o,b,l,k,s,d
b,f,w,t,n,a,c,b,u,e,b,s,s,e,e,p,w,o,e,k,a,u
x,y,w,f,p,f,c,n,p,e,u,k,k,w,c,p,w,t,p,b,v,p
s,g,b,t,m,f,c,b,r,e,r,y,s,p,p,p,o,t,l,o,y,m
s,f,e,t,n,a,c,b,y,e,b,f,s,p,p,p,n,o,p,n,v,d
k,y,n,t,l,f,c,n,g,t,b,s,s,w,b,u,w,o,n,n,v,d
x,g,g,f,f,d,w,n,w,t,z,s,s,w,w,p,y,o,z,n,v,u
x,y,b,t,n,d,c,b,h,t,b,s,y,w,e,p,o,b,p,u,y,d
s,f,g,f,m,d,w,b,k,e,e,y,s,w,p,p,o,t,f,n,y,g
f,s,g,f,n,f,d,b,y,t,r,s,s,w,p,p,y,o,e,n,s,m
b,f,n,t,n,a,c,b,o,e,b,f,s,g,g,p,n,o,p,n,a,p
c,f,n,t,n,f,w,b,u,t,c,y,s,o,p,p,o,o,l,n,c,m
f,f,p,f,f,f,w,b,p,t,e,k,k,o,w,u,w,o,n,k,c,w
f,f,g,f,c,a,w,b,y,t,r,s,s,w,c,p,n,t,e,b,y,l
f,g,n,f,n,d,w,b,e,e,e,y,f,e,e,p,w,b,e,u,s,w
x,g,b,t,l,f,w,b,p,e,b,y,s,g,b,p,w,o,f,k,c,d
b,g,r,t,n,d,c,b,n,t,r,s,s,y,y,p,w,o,p,n,y,l
f,y,e,f,p,f,c,n,p,t,e,s,k,n,n,p,w,o,p,k,s,l
c,f,g,t,l,f,w,b,p,t,c,s,f,g,b,p,n,o,c,n,v,d
s,s,w,f,n,n,d,b,r,t,r,s,s,w,w,u,y,t,s,b,y,d
b,s,b,t,n,a,c,b,g,e,e,f,f,e,e,p,n,b,p,n,s,u
x,g,w,f,n,d,d,b,u,e,u,f,y,w,w,p,o,o,f,n,n,w
f,f,p,t,n,d,w,b,k,e,e,f,f,w,w,p,w,b,e,u,s,g
x,g,u,t,n,d,c,b,u,e,u,s,s,g,p,p,w,t,p,o,y,d
k,f,g,f,f,n,c,b,n,t,b,s,s,o,o,p,w,o,s,n,v,g
x,f,w,f,n,f,w,n,k,t,b,f,s,w,e,u,w,o,e,u,s,l
k,f,w,t,f,f,c,n,g,e,e,f,s,o,o,p,w,o,c,k,v,w
x,f,y,f,m,a,d,b,r,e,e,f,s,p,p,p,n,o,e,o,y,l
c,y,g,t,n,f,w,n,n,t,r,f,s,c,g,p,n,t,p,k,y,p
s,y,p,f,n,f,c,n,y,t,b,k,s,w,w,p,w,o,p,y,y,d
x,y,w,t,n,f,c,n,w,t,b,k,s,p,w,u,w,t,n,n,v,d
x,y,e,f,p,f,w,n,p,t,c,k,s,p,w,p,w,o,p,n,c,d
f,f,u,t,y,n,c,b,w,t,b,s,s,g,p,p,y,b,p,n,a,g
x,f,e,t,n,f,d,b,u,e,b,s,y,g,g,p,o,o,p,k,n,d
k,f,n,t,l,a,c,b,g,t,b,f,f,b,w,p,n,o,p,n,v,p
b,y,e,f,n,f,c,b,u,t,b,k,k,g,p,u,w,b,p,h,a,g
x,f,w,t,n,n,c,n,w,t,u,s,s,c,c,u,y,o,p,k,n,d
c,f,g,t,f,n,c,b,p,t,c,s,s,w,w,p,y,o,p,k,v,d
x,y,e,f,m,f,d,n,w,t,b,s,k,p,p,p,w,o,p,k,y,d
c,g,e,t,n,d,w,b,p,e,c,y,s,w,w,p,o,o,f,w,c,d
x,y,r,t,p,f,w,n,g,t,z,k,k,b,w,p,w,o,p,n,v,g
c,f,e,t,f,f,w,b,n,e,b,f,s,o,o,p,n,o,p,r,v,l
x,g,g,t,n,d,d,b,u,e,u,y,s,c,c,p,o,o,p,b,n,d
b,y,u,f,y,f,c,n,p,t,b,s,k,g,g,u,w,b,n,h,a,m
s,s,b,f,n,f,d,n,r,t,r,s,s,p,g,u,y,t,p,k,y,d
f,y,b,t,n,f,c,n,h,t,b,s,k,g,g,u,w,b,p,h,v,d
x,y,w,t,f,f,c,b,n,t,z,s,s,p,p,u,w,o,p,r,v,d
x,y,g,f,s,f,c,b,u,t,b,k,s,y,w,p,w,t,n,y,v,d
x,f,y,f,f,f,w,n,p,t,b,k,s,o,w,p,w,o,p,n,c,p
f,y,e,t,n,f,w,b,g,e,z,s,s,w,w,p,o,o,l,w,y,d
f,g,n,t,c,f,d,b,p,e,u,y,y,g,p,p,o,t,f,b,v,d
c,f,b,f,l,f,c,n,n,t,b,k,k,b,p,p,w,t,s,k,v,d
f,y,y,t,s,a,d,b,w,e,r,s,f,y,p,p,w,t,e,k,y,p
s,y,b,t,n,a,c,b,u,e,b,s,s,c,c,p,w,o,c,n,v,g
x,f,g,t,p,a,w,b,n,t,b,f,s,w,g,p,n,o,c,w,c,u
k,y,g,t,p,f,c,n,n,t,b,s,s,w,p,u,w,o,p,k,v,u
k,f,n,f,p,f,w,b,w,e,b,f,f,b,w,p,w,o,e,w,v,w
f,s,e,f,p,f,c,n,r,e,r,k,k,y,w,u,w,t,n,y,y,u
s,f,e,t,n,a,c,b,y,t,r,s,s,p,w,p,n,t,p,o,v,d
c,f,g,f,c,f,w,b,h,t,r,k,k,w,c,p,w,o,n,b,y,p
k,f,w,t,f,a,c,b,w,t,z,s,s,g,w,p,n,o,c,n,v,d
f,f,n,t,n,f,w,b,w,t,b,s,f,b,b,p,w,o,c,n,v,d
x,y,n,t,n,f,w,b,w,t,b,k,s,b,b,p,w,o,p,n,c,d
b,s,g,f,n,f,c,n,u,t,b,s,s,g,w,u,w,o,p,h,a,u
x,y,g,t,s,n,d,b,w,t,b,s,s,g,w,u,y,o,p,y,v,d
x,f,b,t,n,f,c,b,u,e,e,f,s,w,e,p,w,o,e,u,s,d
x,y,b,f,n,f,c,b,n,t,b,s,s,w,g,p,w,b,p,n,y,w
x,f,b,t,n,f,c,b,y,t,r,s,s,y,y,p,w,t,c,y,y,p
f,f,b,f,n,f,c,b,e,t,b,s,k,p,w,p,w,b,p,u,s,d
x,s,e,t,p,n,w,n,p,t,c,s,s,w,w,u,w,o,p,w,c,d
c,y,g,t,n,d,w,b,p,e,b,s,y,p,b,p,w,o,p,n,c,d
c,y,e,t,l,n,w,n,p,t,c,s,s,w,w,u,y,o,z,n,y,d
b,y,n,t,a,f,c,b,o,e,b,s,f,w,n,p,n,o,p,k,a,d
x,g,w,t,c,d,d,b,n,t,b,y,s,p,c,p,o,o,p,b,n,d
x,s,n,t,c,f,d,n,b,t,b,s,s,c,c,p,y,t,s,n,n,u
f,g,n,t,p,d,c,b,p,e,c,s,y,w,w,p,w,o,f,w,v,l
f,f,p,f,f,f,w,b,n,t,c,s,k,o,w,p,w,o,p,r,y,m
s,s,b,t,p,n,c,n,r,e,e,s,s,w,w,u,w,o,s,k,s,p
f,g,p,t,n,d,c,b,h,e,b,y,s,g,p,p,w,b,f,k,s,w
x,f,r,t,n,d,d,b,p,e,u,y,y,p,p,p,w,o,p,k,y,d
x,y,n,f,n,f,d,b,u,t,u,k,s,p,c,p,w,t,p,b,v,d
f,y,y,t,n,f,c,b,e,t,b,k,k,w,e,u,w,o,p,u,s,g
c,f,g,t,l,f,c,b,n,t,c,s,f,w,g,p,n,o,p,n,c,d
s,g,g,t,n,d,d,b,y,t,r,s,s,g,p,p,o,t,p,b,y,w
x,y,n,f,p,f,w,n,g,t,z,s,s,p,w,u,y,o,s,w,y,w
f,f,n,t,y,d,c,b,k,t,b,s,s,g,g,u,w,t,p,n,n,w
f,s,r,t,y,n,c,n,w,t,b,s,s,g,g,u,w,b,z,n,a,g
x,g,e,t,n,f,d,b,u,e,u,s,y,w,c,p,w,t,p,b,v,l
x,f,n,t,n,f,d,b,u,t,b,s,y,w,y,p,w,o,p,k,y,p
s,f,y,t,m,f,c,n,p,t,r,s,s,p,p,p,y,t,p,n,y,d
f,f,u,t,n,n,c,b,p,t,b,s,s,n,n,u,w,o,z,k,a,d
x,f,n,t,n,a,c,b,p,t,c,f,f,w,p,p,n,o,e,k,c,w
b,f,c,t,n,d,c,b,o,t,b,y,s,w,p,p,w,b,p,k,a,d
b,f,e,f,n,f,c,n,o,t,b,s,s,w,e,u,w,o,s,n,a,d
x,f,e,t,s,a,d,b,y,e,b,s,f,p,y,p,n,o,c,n,y,d
k,y,c,f,f,f,c,n,g,t,b,k,s,p,g,u,w,o,p,k,v,d
s,y,y,t,n,f,d,n,n,t,r,s,k,p,g,p,w,t,p,k,y,d
x,y,e,t,n,d,c,b,e,t,e,s,y,n,n,p,w,b,f,k,v,d
x,f,g,t,f,a,c,b,p,e,z,f,f,g,o,p,w,o,e,r,v,d
f,f,p,t,n,f,c,b,h,t,e,s,s,e,e,u,w,b,z,u,v,d
k,f,r,t,f,f,c,n,w,t,b,k,s,o,o,u,w,o,n,n,v,m
x,y,e,t,n,f,c,n,n,t,b,s,k,g,w,u,w,o,p,k,s,d
x,f,e,t,f,f,w,b,n,t,b,s,s,w,g,p,w,o,p,n,c,w
x,s,w,t,n,f,d,n,b,t,u,s,s,y,p,u,y,o,s,y,n,d
x,f,w,t,n,d,c,b,b,e,u,s,s,g,w,p,o,o,f,k,y,g
c,y,e,f,f,f,c,n,n,t,b,s,s,w,w,p,w,o,p,n,c,d
x,f,g,t,n,a,c,b,h,e,b,f,f,e,e,p,n,b,c,u,y,d
x,y,c,t,n,f,c,n,u,t,u,s,s,p,w,p,w,o,p,k,y,d
x,f,e,t,n,n,d,b,b,t,u,s,s,w,w,p,w,o,p,n,y,d
s,g,n,t,c,d,d,b,r,e,b,y,y,c,c,p,w,o,f,b,y,d
f,g,u,t,n,d,c,b,p,t,b,s,s,g,b,p,w,o,l,n,v,d
b,y,e,t,y,f,c,b,w,t,b,s,s,g,g,p,w,b,p,h,a,d
f,f,b,t,p,f,c,b,p,t,b,s,k,w,w,u,w,o,p,w,c,l
k,y,n,t,n,a,c,b,p,t,b,s,f,w,g,p,n,o,c,r,v,d
f,f,n,f,l,f,w,b,p,t,z,k,k,b,b,p,w,o,p,n,y,d
x,g,e,t,s,f,d,b,n,t,u,s,y,p,y,p,w,o,p,k,y,d
x,f,g,t,n,f,w,b,w,t,b,y,s,g,p,p,o,o,p,k,v,p
b,f,c,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,s,n,v,u
x,g,n,t,n,d,c,b,y,e,r,s,y,p,p,p,w,t,l,k,y,m
x,g,c,t,l,d,w,b,w,e,b,s,s,b,g,p,o,o,p,n,y,d
x,y,g,f,a,f,w,n,e,t,e,s,s,n,n,u,w,o,e,k,s,l
k,f,n,t,n,a,w,b,w,e,b,s,f,b,g,p,n,o,p,n,y,l
f,s,g,t,n,n,c,n,p,t,b,s,s,n,n,u,w,o,p,k,s,d
b,y,r,t,n,a,c,b,k,t,b,s,s,n,n,p,w,b,e,k,a,g
f,f,r,t,n,f,c,b,b,e,u,s,f,c,p,p,w,t,c,k,n,d
x,g,g,t,s,d,d,b,r,e,r,y,y,y,p,p,o,o,p,y,y,d
c,f,g,f,n,n,c,b,n,t,c,s,s,p,p,u,w,o,s,r,c,l
f,f,g,t,c,d,d,b,u,t,u,y,s,w,c,p,w,t,l,n,n,l
x,s,w,f,n,f,w,n,p,t,z,s,f,b,b,u,w,o,e,n,a,g
x,f,n,t,n,a,d,b,w,t,b,f,s,g,p,p,n,o,p,n,y,d
f,f,n,t,n,f,c,b,w,t,e,f,s,p,g,p,n,o,p,k,v,p
f,g,g,t,n,d,c,b,n,e,b,s,y,g,w,p,o,o,p,k,c,d
b,f,w,t,n,f,c,b,w,t,b,f,s,n,n,p,n,o,p,k,y,u
f,s,e,f,y,f,c,b,h,t,b,s,s,g,w,p,w,b,s,n,s,d
b,f,e,t,n,a,c,b,o,t,b,f,f,g,p,p,w,o,c,u,v,p
b,y,u,t,n,f,c,n,w,t,c,s,s,w,w,u,w,o,p,w,y,p
s,f,g,t,c,a,d,b,w,e,r,f,f,w,w,p,o,o,p,k,c,l
f,y,g,f,n,f,c,b,w,t,e,s,k,p,e,p,w,b,n,u,s,d
x,y,p,f,l,f,w,n,n,e,b,s,s,b,b,p,w,o,p,n,s,d
c,y,n,t,p,a,w,b,n,t,c,s,s,g,w,p,w,o,p,w,c,l
f,g,p,t,n,f,c,b,n,t,b,s,s,e,e,p,w,o,p,k,v,w
x,y,e,t,n,f,c,b,p,t,b,s,s,n,n,u,w,b,p,k,y,u
b,f,n,t,n,f,c,b,o,t,b,s,s,b,w,p,y,o,p,n,c,m
x,g,r,t,p,d,c,b,g,e,b,y,s,w,w,p,o,o,f,w,v,m
b,y,c,f,a,f,c,n,w,t,b,s,s,g,n,u,w,b,n,k,y,w
c,f,e,t,l,a,w,b,p,t,c,f,f,b,b,p,w,o,p,n,c,d
x,s,n,t,m,n,d,b,b,t,b,s,s,p,p,u,w,t,p,o,n,d
s,y,n,f,n,n,c,n,r,t,r,s,s,p,w,u,y,o,p,o,v,d
k,f,e,t,n,f,c,n,g,t,z,k,k,o,w,p,w,o,n,n,v,d
f,s,g,f,n,f,c,b,y,t,r,s,s,p,p,p,y,t,p,o,y,m
x,s,p,f,m,n,d,n,n,t,b,s,s,p,p,p,w,o,z,o,v,d
x,y,e,t,s,f,d,n,r,t,b,s,s,g,y,u,y,t,z,n,y,d
s,g,p,t,s,d,c,b,r,t,r,y,s,y,g,p,o,t,l,y,y,d
k,y,r,t,f,f,c,b,p,t,z,s,k,o,o,p,w,o,p,r,v,u
f,f,b,t,y,f,c,b,h,e,e,f,f,p,p,p,n,b,z,o,y,d
x,f,b,f,l,f,w,n,p,t,c,s,s,w,b,p,y,o,s,n,c,u
k,f,g,t,p,f,c,b,g,e,b,s,f,g,g,p,n,o,p,w,v,u
x,f,e,t,n,f,c,b,e,t,b,s,s,g,w,p,n,b,e,k,s,d
x,y,w,f,n,f,c,n,o,t,b,k,k,g,g,u,w,b,p,h,a,l
b,g,u,t,n,f,c,b,k,t,b,s,s,w,p,p,o,o,p,u,a,d
s,s,e,f,s,f,c,n,p,t,r,s,s,w,w,p,y,o,s,n,y,d
f,y,e,f,p,f,c,n,w,t,b,k,s,w,g,p,w,o,n,n,v,d
k,y,g,f,n,f,c,n,p,t,b,s,s,w,g,u,w,o,p,k,v,d
k,g,e,t,p,d,w,b,p,e,z,y,y,p,w,p,o,o,p,k,v,w
x,y,g,t,a,f,c,b,p,t,b,s,s,w,g,u,w,o,z,k,s,d
f,y,n,f,n,f,w,n,g,t,e,s,k,o,w,p,w,o,e,r,s,g
f,g,g,f,y,d,c,b,g,e,e,y,k,b,g,p,w,o,l,h,y,w
b,f,w,t,n,f,c,n,p,t,b,s,s,e,e,p,w,o,p,k,a,w
s,y,e,t,m,a,c,b,y,e,b,s,s,w,p,p,n,o,p,n,y,d
k,s,w,f,l,n,c,n,w,e,e,s,s,b,b,p,y,o,z,k,v,g
c,y,n,t,p,f,c,n,u,t,b,s,s,w,w,p,w,o,n,w,c,l
f,y,y,f,n,f,c,n,n,t,b,k,k,p,g,p,w,o,p,n,y,d
k,s,e,f,p,f,c,b,n,t,z,s,s,w,g,p,w,o,p,w,v,d
k,y,g,t,n,f,w,b,w,t,b,k,k,w,w,u,w,o,p,w,v,m
c,y,b,t,f,f,c,n,p,t,c,s,k,o,o,u,w,o,p,r,c,l
c,f,g,t,l,a,w,b,n,e,e,f,f,w,w,p,n,o,e,n,a,g
x,y,w,t,s,f,d,b,u,t,b,s,s,y,w,u,w,t,p,y,y,g
f,s,e,t,a,f,c,b,e,t,b,s,s,n,n,p,w,b,s,k,y,l
x,y,c,f,a,f,c,b,k,t,b,s,k,g,g,p,w,b,p,u,y,w
c,s,b,f,f,n,c,n,w,t,c,s,s,o,o,p,y,o,s,r,y,p
f,g,r,t,n,f,w,b,g,e,e,f,f,o,o,p,w,o,f,r,v,g
f,s,g,f,y,n,c,n,o,t,b,s,s,p,g,u,y,o,z,n,v,d
x,y,n,t,n,f,c,b,o,e,b,y,y,e,e,p,w,o,f,u,a,d
f,y,y,t,n,f,c,n,h,t,b,s,k,p,p,p,w,o,p,k,s,d
b,y,n,t,n,f,c,n,o,t,b,s,s,e,w,u,w,b,p,u,y,d
x,f,r,t,n,f,d,b,w,t,u,k,k,y,y,p,w,t,n,y,n,d
x,y,p,t,c,f,c,b,u,t,b,k,k,c,c,p,w,t,n,b,v,p
x,y,w,t,p,d,c,b,g,e,b,y,y,p,w,p,o,o,p,n,v,d
f,s,g,f,n,f,w,b,h,e,b,y,y,w,w,p,o,b,e,n,a,g
x,f,c,t,c,d,c,b,u,e,u,y,y,w,p,p,w,o,p,k,y,d
b,s,n,t,n,n,c,b,o,t,b,s,s,e,e,u,y,b,p,u,a,d
x,y,r,t,n,d,d,b,b,e,u,s,y,c,p,p,o,o,f,n,n,d
x,y,r,f,s,f,d,n,u,t,b,s,k,p,g,u,w,o,p,k,y,d
f,y,p,t,n,f,c,n,e,t,e,s,s,e,w,u,y,o,s,k,y,w
f,y,w,f,n,f,w,n,y,t,e,s,f,p,p,p,w,t,n,o,y,g
f,s,p,f,y,f,c,n,p,t,b,s,s,g,g,u,y,o,p,h,s,d
x,s,w,f,n,n,d,n,b,t,b,s,s,y,y,p,y,o,s,k,y,d
k,g,g,t,l,d,c,b,w,t,z,y,s,p,g,p,o,o,f,n,v,g
f,f,g,t,a,a,c,b,h,e,b,f,f,p,w,p,n,b,c,n,v,d
s,f,e,f,n,f,w,b,y,t,e,f,f,w,w,p,n,t,c,y,y,g
k,y,g,f,l,f,c,b,g,t,z,k,s,b,b,u,w,o,p,k,v,d
k,f,e,t,n,a,w,b,g,t,z,s,f,o,w,p,n,o,c,r,v,w
f,f,g,t,c,f,c,b,n,t,r,f,s,c,c,p,w,o,e,b,v,d
x,y,y,f,c,f,c,b,u,t,r,k,s,c,p,u,w,o,n,b,y,d
x,f,e,t,n,a,c,b,r,e,b,f,s,p,g,p,w,t,e,b,y,d
b,f,n,t,y,f,c,n,k,t,b,k,k,g,p,p,w,o,p,h,y,d
s,f,g,t,n,f,c,b,r,e,r,y,s,c,c,p,o,t,p,h,s,d
