class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,flat,scaly,gray,no,fishy,free,close,broad,red,tapering,club,smooth,smooth,white,gray,universal,white,other,zone,black,scattered,grasses
edible,bell,scaly,yellow,bruises,almond,free,close,narrow,brown,enlarging,bulbous,silky,silky,brown,white,universal,white,other,pendant,black,abundant,woods
edible,bell,smooth,brown,no,none,free,close,narrow,orange,tapering,bulbous,smooth,fibrous,white,brown,universal,white,one,pendant,black,abundant,grasses
poisonous,convex,scaly,gray,bruises,fishy,descending,close,broad,black,enlarging,equal,scaly,scaly,gray,gray,partial,white,one,flaring,black,scattered,grasses
edible,conical,smooth,white,no,none,notched,crowded,narrow,black,tapering,equal,smooth,fibrous,orange,white,partial,yellow,one,evanescent,brown,clustered,grasses
poisonous,convex,scaly,yellow,no,pungent,free,close,narrow,red,tapering,equal,smooth,silky,white,white,universal,white,one,pendant,black,scattered,grasses
edible,sunken,scaly,gray,bruises,none,free,close,narrow,brown,tapering,rooted,silky,silky,pink,gray,partial,white,two,pendant,brown,solitary,leaves
poisonous,flat,fibrous,buff,bruises,pungent,attached,close,narrow,red,enlarging,equal,smooth,fibrous,white,white,partial,brown,one,evanescent,purple,scattered,woods
edible,conical,grooves,pink,bruises,anise,free,crowded,broad,pink,enlarging,club,smooth,smooth,white,white,partial,orange,one,pendant,green,clustered,grasses
edible,flat,grooves,buff,bruises,almond,free,close,broad,brown,enlarging,equal,smooth,smooth,brown,brown,partial,white,other,pendant,brown,numerous,meadows
edible,flat,scaly,brown,no,anise,notched,close,narrow,brown,enlarging,equal,smooth,scaly,red,red,partial,white,one,sheathing,brown,scattered,paths
edible,convex,grooves,yellow,no,none,free,crowded,broad,chocolate,enlarging,equal,smooth,scaly,red,white,partial,white,one,large,brown,scattered,waste
edible,flat,scaly,brown,no,none,free,close,broad,pink,tapering,equal,fibrous,smooth,brown,brown,universal,white,one,none,black,scattered,woods
edible,flat,smooth,gray,no,none,free,crowded,narrow,chocolate,tapering,equal,smooth,smooth,white,brown,partial,yellow,other,zone,black,abundant,grasses
edible,convex,fibrous,white,bruises,anise,free,crowded,broad,brown,tapering,club,fibrous,fibrous,white,buff,partial,white,one,evanescent,brown,abundant,grasses
edible,flat,smooth,brown,no,fishy,notched,crowded,broad,chocolate,tapering,equal,smooth,smooth,gray,white,universal,yellow,one,evanescent,chocolate,scattered,grasses
edible,flat,scaly,brown,no,none,free,crowded,broad,brown,tapering,bulbous,silky,smooth,white,red,partial,white,other,pendant,purple,abundant,grasses
edible,flat,smooth,gray,no,none,free,crowded,narrow,chocolate,tapering,equal,silky,fibrous,white,white,universal,white,other,evanescent,black,scattered,paths
edible,bell,smooth,white,bruises,anise,attached,close,broad,white,enlarging,rhizomorphs,smooth,fibrous,white,white,partial,white,one,cobwebby,white,several,grasses
edible,convex,scaly,gray,no,foul,free,crowded,broad,white,tapering,rhizomorphs,smooth,silky,orange,orange,universal,white,one,pendant,black,several,grasses
edible,bell,smooth,yellow,bruises,fishy,attached,close,broad,orange,enlarging,bulbous,smooth,smooth,white,white,partial,brown,one,pendant,black,abundant,paths
poisonous,knobbed,scaly,cinnamon,bruises,pungent,attached,close,broad,black,enlarging,bulbous,fibrous,fibrous,white,white,partial,white,other,evanescent,black,abundant,urban
edible,knobbed,smooth,white,no,pungent,free,crowded,broad,pink,tapering,rhizomorphs,smooth,smooth,white,white,universal,yellow,one,sheathing,black,several,grasses
edible,knobbed,smooth,brown,no,foul,free,crowded,narrow,chocolate,tapering,equal,fibrous,silky,orange,white,partial,white,one,evanescent,black,scattered,meadows
edible,conical,scaly,buff,no,none,free,crowded,broad,brown,tapering,club,smooth,silky,white,white,universal,white,one,evanescent,white,clustered,grasses
edible,sunken,smooth,gray,no,none,notched,distant,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,two,sheathing,buff,scattered,grasses
edible,convex,grooves,brown,bruises,none,descending,close,broad,orange,enlarging,bulbous,smooth,scaly,brown,brown,partial,white,one,large,brown,abundant,woods
edible,convex,scaly,brown,no,anise,free,close,narrow,brown,tapering,bulbous,smooth,silky,gray,gray,partial,white,one,none,black,solitary,leaves
edible,convex,scaly,cinnamon,no,creosote,free,close,narrow,brown,enlarging,cup,silky,scaly,cinnamon,cinnamon,universal,white,one,none,brown,solitary,paths
edible,convex,fibrous,purple,bruises,foul,descending,crowded,broad,white,enlarging,rhizomorphs,scaly,scaly,pink,orange,partial,orange,one,large,green,several,leaves
edible,convex,fibrous,brown,no,spicy,free,crowded,broad,pink,enlarging,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,yellow,numerous,paths
edible,sunken,scaly,gray,no,none,free,distant,narrow,green,tapering,equal,fibrous,silky,white,cinnamon,partial,white,one,evanescent,orange,numerous,grasses
edible,bell,smooth,white,no,none,descending,crowded,broad,brown,tapering,equal,smooth,fibrous,white,gray,partial,orange,one,large,brown,abundant,urban
edible,sunken,smooth,gray,no,musty,notched,crowded,narrow,yellow,tapering,rooted,smooth,smooth,pink,pink,universal,yellow,one,sheathing,orange,abundant,grasses
edible,flat,smooth,pink,no,none,free,crowded,broad,brown,tapering,equal,silky,fibrous,white,white,partial,white,one,pendant,black,scattered,paths
edible,flat,grooves,green,no,none,descending,close,broad,orange,tapering,bulbous,fibrous,scaly,white,white,partial,orange,other,flaring,purple,abundant,woods
edible,bell,scaly,white,no,none,free,crowded,broad,orange,tapering,bulbous,smooth,silky,gray,white,universal,white,one,none,chocolate,abundant,paths
edible,bell,smooth,purple,no,none,notched,close,narrow,black,tapering,bulbous,smooth,fibrous,red,red,universal,yellow,other,zone,brown,abundant,grasses
edible,flat,scaly,gray,bruises,fishy,free,close,narrow,white,tapering,equal,silky,smooth,white,gray,universal,white,other,pendant,black,solitary,woods
edible,convex,grooves,brown,bruises,creosote,descending,distant,broad,black,enlarging,cup,scaly,scaly,white,cinnamon,partial,white,one,evanescent,buff,scattered,waste
edible,knobbed,fibrous,brown,bruises,none,attached,crowded,broad,gray,enlarging,rhizomorphs,fibrous,fibrous,buff,buff,partial,white,one,cobwebby,brown,scattered,grasses
poisonous,flat,smooth,buff,bruises,creosote,free,distant,narrow,green,tapering,rooted,smooth,smooth,cinnamon,cinnamon,partial,white,one,pendant,buff,scattered,grasses
edible,convex,fibrous,brown,bruises,pungent,attached,crowded,broad,brown,enlarging,bulbous,fibrous,fibrous,pink,white,partial,white,one,pendant,black,several,woods
edible,convex,fibrous,brown,no,spicy,free,distant,narrow,buff,tapering,cup,silky,fibrous,white,white,partial,white,one,evanescent,black,numerous,grasses
edible,bell,fibrous,white,no,none,free,close,narrow,black,tapering,bulbous,smooth,fibrous,red,white,universal,white,one,evanescent,purple,abundant,leaves
poisonous,knobbed,scaly,brown,bruises,anise,free,crowded,narrow,gray,tapering,rhizomorphs,silky,silky,white,buff,universal,white,one,none,brown,scattered,urban
edible,conical,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,white,clustered,grasses
edible,flat,fibrous,pink,no,none,free,close,narrow,red,tapering,equal,silky,silky,red,red,universal,white,other,pendant,black,scattered,meadows
edible,knobbed,fibrous,white,no,none,free,crowded,narrow,white,tapering,equal,fibrous,fibrous,white,white,partial,white,one,pendant,white,several,paths
edible,convex,grooves,pink,bruises,none,free,crowded,broad,chocolate,enlarging,equal,scaly,fibrous,white,buff,partial,orange,one,evanescent,black,clustered,grasses
edible,sunken,grooves,pink,bruises,none,free,close,broad,yellow,tapering,bulbous,smooth,smooth,pink,pink,partial,orange,one,pendant,brown,solitary,urban
edible,flat,grooves,yellow,bruises,none,descending,crowded,broad,chocolate,enlarging,equal,scaly,scaly,red,red,partial,white,one,flaring,brown,scattered,grasses
edible,flat,fibrous,brown,bruises,none,attached,distant,broad,buff,tapering,cup,fibrous,fibrous,white,white,partial,brown,one,cobwebby,brown,abundant,woods
edible,convex,scaly,cinnamon,no,none,free,close,broad,white,tapering,rhizomorphs,smooth,silky,pink,orange,partial,white,one,none,green,solitary,woods
edible,convex,grooves,purple,bruises,anise,free,close,broad,purple,enlarging,cup,smooth,smooth,white,white,partial,white,one,flaring,orange,numerous,grasses
edible,convex,scaly,cinnamon,bruises,pungent,descending,crowded,broad,white,enlarging,club,smooth,scaly,white,white,partial,orange,one,pendant,brown,numerous,woods
edible,sunken,smooth,gray,no,creosote,free,crowded,broad,yellow,tapering,equal,smooth,smooth,white,white,universal,white,one,sheathing,brown,scattered,paths
edible,sunken,grooves,gray,bruises,musty,free,distant,broad,yellow,tapering,rooted,smooth,scaly,white,pink,partial,orange,one,evanescent,black,clustered,grasses
edible,flat,scaly,brown,no,fishy,free,close,narrow,brown,tapering,equal,silky,fibrous,gray,gray,universal,white,one,pendant,black,abundant,grasses
edible,bell,grooves,brown,bruises,none,free,close,broad,pink,tapering,bulbous,scaly,smooth,white,white,partial,orange,one,large,purple,abundant,grasses
edible,convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,buff,partial,white,one,cobwebby,brown,clustered,paths
edible,conical,smooth,brown,bruises,none,descending,crowded,broad,brown,enlarging,equal,scaly,fibrous,white,white,partial,orange,one,evanescent,white,scattered,grasses
edible,bell,grooves,yellow,bruises,almond,free,close,broad,red,enlarging,club,scaly,scaly,brown,brown,partial,orange,other,pendant,black,scattered,meadows
poisonous,knobbed,grooves,green,bruises,pungent,descending,close,narrow,black,enlarging,equal,scaly,scaly,white,white,partial,white,one,flaring,white,several,grasses
edible,convex,fibrous,brown,no,none,attached,crowded,broad,gray,enlarging,rhizomorphs,fibrous,fibrous,buff,buff,partial,white,one,cobwebby,black,several,grasses
edible,flat,fibrous,gray,bruises,musty,free,distant,broad,black,tapering,rooted,fibrous,fibrous,pink,white,partial,white,two,evanescent,orange,scattered,waste
edible,convex,grooves,yellow,bruises,foul,descending,crowded,broad,pink,enlarging,rooted,scaly,scaly,orange,white,partial,orange,one,pendant,black,clustered,grasses
edible,convex,scaly,yellow,no,none,free,crowded,narrow,green,tapering,equal,silky,fibrous,yellow,yellow,partial,white,two,evanescent,brown,solitary,woods
edible,flat,smooth,white,no,none,free,distant,broad,black,tapering,rooted,fibrous,smooth,cinnamon,cinnamon,partial,white,two,cobwebby,buff,abundant,grasses
poisonous,convex,scaly,brown,no,pungent,free,distant,narrow,brown,tapering,equal,silky,silky,white,yellow,partial,white,two,pendant,black,several,waste
edible,flat,scaly,pink,no,none,free,crowded,narrow,red,tapering,equal,fibrous,fibrous,gray,gray,partial,white,other,evanescent,chocolate,scattered,grasses
edible,convex,fibrous,buff,no,none,free,crowded,broad,green,tapering,rooted,fibrous,silky,white,white,universal,white,two,pendant,yellow,solitary,grasses
poisonous,flat,smooth,brown,bruises,pungent,free,crowded,narrow,brown,enlarging,rhizomorphs,smooth,smooth,white,white,partial,yellow,one,sheathing,white,several,grasses
edible,convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,cup,smooth,silky,white,yellow,partial,white,two,none,brown,abundant,grasses
edible,convex,smooth,purple,no,musty,free,crowded,broad,purple,enlarging,equal,fibrous,smooth,white,pink,partial,white,one,cobwebby,orange,numerous,waste
edible,conical,smooth,pink,bruises,none,notched,crowded,broad,brown,tapering,club,smooth,smooth,gray,white,partial,yellow,one,sheathing,white,several,paths
edible,flat,smooth,white,bruises,none,free,crowded,broad,brown,tapering,equal,scaly,scaly,buff,buff,partial,white,one,large,brown,clustered,paths
poisonous,conical,smooth,pink,bruises,pungent,notched,close,narrow,brown,tapering,equal,smooth,smooth,white,white,universal,white,one,pendant,brown,clustered,meadows
edible,convex,fibrous,white,no,none,free,crowded,broad,brown,tapering,club,silky,silky,orange,white,universal,white,one,evanescent,black,abundant,grasses
edible,flat,smooth,brown,no,almond,notched,close,narrow,black,tapering,equal,smooth,smooth,brown,brown,partial,yellow,other,evanescent,black,abundant,grasses
edible,knobbed,smooth,cinnamon,bruises,none,descending,crowded,broad,pink,tapering,rhizomorphs,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,several,leaves
edible,convex,fibrous,brown,no,none,free,distant,narrow,brown,tapering,cup,smooth,fibrous,yellow,yellow,universal,white,two,zone,yellow,abundant,grasses
edible,bell,scaly,green,bruises,almond,free,close,narrow,white,enlarging,rooted,silky,scaly,white,brown,partial,white,other,pendant,brown,abundant,grasses
poisonous,sunken,smooth,yellow,bruises,pungent,free,distant,broad,white,enlarging,equal,scaly,smooth,cinnamon,white,partial,orange,one,flaring,brown,scattered,leaves
edible,bell,fibrous,cinnamon,bruises,none,free,close,broad,pink,enlarging,equal,fibrous,fibrous,red,white,partial,brown,other,cobwebby,purple,abundant,grasses
edible,knobbed,fibrous,purple,no,foul,free,close,narrow,pink,tapering,equal,smooth,smooth,white,orange,partial,white,one,pendant,black,solitary,paths
poisonous,convex,fibrous,brown,bruises,creosote,attached,close,narrow,white,enlarging,cup,fibrous,fibrous,cinnamon,cinnamon,partial,brown,two,pendant,buff,scattered,urban
edible,flat,smooth,white,no,almond,free,close,broad,black,tapering,equal,silky,silky,white,brown,partial,white,one,evanescent,brown,scattered,woods
edible,convex,grooves,gray,bruises,none,free,crowded,broad,chocolate,tapering,equal,fibrous,scaly,red,red,partial,orange,other,evanescent,brown,scattered,paths
edible,conical,scaly,buff,no,foul,free,close,broad,brown,tapering,rooted,smooth,silky,white,white,partial,white,one,pendant,brown,clustered,leaves
edible,convex,scaly,cinnamon,no,spicy,free,crowded,broad,purple,tapering,cup,fibrous,fibrous,yellow,white,partial,white,two,none,brown,scattered,paths
edible,convex,fibrous,white,no,none,attached,close,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,other,evanescent,black,scattered,grasses
poisonous,knobbed,scaly,cinnamon,no,anise,free,close,narrow,brown,tapering,equal,smooth,smooth,white,white,universal,white,one,pendant,brown,scattered,grasses
edible,bell,fibrous,brown,no,none,descending,close,broad,black,tapering,equal,scaly,scaly,red,red,partial,orange,other,large,black,scattered,leaves
edible,flat,fibrous,gray,no,none,free,crowded,broad,pink,tapering,club,smooth,smooth,orange,white,partial,white,one,large,brown,scattered,grasses
edible,convex,fibrous,brown,bruises,none,free,crowded,broad,brown,enlarging,cup,fibrous,fibrous,pink,pink,partial,brown,two,evanescent,black,numerous,grasses
edible,sunken,fibrous,buff,no,musty,free,distant,broad,green,tapering,bulbous,silky,smooth,pink,pink,universal,white,two,pendant,brown,several,woods
edible,convex,smooth,gray,no,none,attached,distant,broad,purple,enlarging,cup,fibrous,fibrous,yellow,white,partial,brown,one,evanescent,black,numerous,grasses
edible,conical,grooves,buff,bruises,pungent,free,crowded,broad,brown,tapering,club,scaly,scaly,white,white,partial,white,one,evanescent,white,clustered,grasses
edible,convex,fibrous,buff,bruises,none,attached,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,brown,other,evanescent,purple,scattered,paths
edible,flat,fibrous,gray,bruises,fishy,attached,close,broad,black,enlarging,bulbous,smooth,smooth,gray,gray,partial,white,one,evanescent,brown,abundant,grasses
edible,sunken,fibrous,brown,bruises,none,free,distant,broad,brown,enlarging,rooted,smooth,smooth,yellow,yellow,partial,orange,one,large,black,solitary,woods
edible,flat,smooth,red,no,fishy,free,close,broad,chocolate,tapering,equal,fibrous,smooth,gray,gray,universal,white,one,sheathing,chocolate,scattered,grasses
poisonous,convex,grooves,buff,bruises,foul,descending,crowded,narrow,brown,enlarging,club,smooth,scaly,white,orange,partial,white,one,pendant,brown,scattered,urban
edible,conical,smooth,red,bruises,anise,descending,crowded,broad,brown,enlarging,equal,smooth,scaly,white,white,partial,orange,one,evanescent,brown,abundant,grasses
edible,convex,smooth,green,no,spicy,free,distant,broad,buff,tapering,cup,scaly,scaly,white,yellow,partial,white,one,evanescent,yellow,scattered,grasses
edible,sunken,scaly,pink,bruises,spicy,free,distant,broad,pink,tapering,bulbous,smooth,silky,white,gray,universal,white,one,pendant,yellow,several,waste
edible,convex,scaly,purple,no,almond,free,crowded,broad,pink,tapering,rhizomorphs,silky,silky,white,white,partial,white,one,pendant,brown,several,meadows
edible,convex,grooves,gray,no,fishy,free,crowded,broad,black,tapering,equal,scaly,scaly,white,white,partial,orange,one,evanescent,chocolate,scattered,urban
edible,convex,fibrous,brown,bruises,none,free,close,broad,chocolate,enlarging,equal,scaly,scaly,brown,white,partial,orange,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,white,no,musty,notched,distant,broad,green,tapering,equal,smooth,smooth,white,white,universal,yellow,one,zone,black,solitary,grasses
edible,convex,scaly,white,no,almond,free,distant,narrow,buff,enlarging,club,smooth,silky,yellow,white,universal,white,one,none,yellow,numerous,urban
edible,sunken,grooves,buff,bruises,creosote,free,close,broad,yellow,enlarging,rooted,scaly,scaly,cinnamon,white,partial,orange,one,pendant,buff,solitary,woods
edible,convex,fibrous,purple,no,none,free,distant,broad,pink,tapering,cup,smooth,silky,white,white,universal,white,two,evanescent,black,numerous,grasses
edible,convex,grooves,cinnamon,no,creosote,free,distant,broad,brown,enlarging,cup,fibrous,scaly,cinnamon,white,partial,white,two,evanescent,buff,numerous,waste
poisonous,bell,smooth,brown,bruises,pungent,free,close,narrow,yellow,enlarging,equal,silky,silky,cinnamon,white,universal,white,two,pendant,brown,solitary,urban
poisonous,conical,smooth,buff,bruises,pungent,descending,close,broad,black,enlarging,club,scaly,scaly,white,white,partial,white,one,large,white,clustered,meadows
edible,sunken,smooth,brown,no,spicy,notched,distant,narrow,pink,tapering,rooted,smooth,smooth,yellow,white,universal,yellow,one,zone,yellow,abundant,grasses
edible,knobbed,fibrous,purple,bruises,anise,attached,close,narrow,brown,enlarging,rhizomorphs,fibrous,smooth,white,white,partial,brown,one,cobwebby,brown,several,grasses
edible,flat,smooth,green,bruises,none,free,crowded,broad,gray,enlarging,rhizomorphs,scaly,fibrous,white,white,partial,orange,one,evanescent,black,scattered,paths
edible,convex,smooth,white,no,none,free,crowded,narrow,black,tapering,rooted,smooth,smooth,white,white,partial,yellow,one,sheathing,black,solitary,grasses
poisonous,flat,smooth,white,bruises,pungent,attached,close,narrow,chocolate,enlarging,equal,smooth,fibrous,red,red,partial,white,other,pendant,purple,scattered,grasses
edible,convex,smooth,yellow,bruises,musty,free,distant,narrow,purple,enlarging,club,silky,silky,pink,pink,partial,white,two,pendant,orange,scattered,grasses
edible,bell,scaly,brown,no,none,free,close,broad,orange,tapering,bulbous,silky,silky,white,red,partial,white,one,none,black,abundant,woods
poisonous,flat,scaly,brown,no,fishy,free,close,narrow,chocolate,enlarging,equal,smooth,smooth,white,white,universal,white,one,pendant,black,scattered,urban
edible,convex,grooves,green,no,none,free,distant,broad,chocolate,enlarging,cup,scaly,scaly,white,pink,partial,white,two,evanescent,black,numerous,grasses
edible,conical,grooves,buff,no,anise,descending,crowded,broad,black,tapering,equal,scaly,scaly,white,white,partial,white,one,evanescent,brown,clustered,paths
edible,convex,smooth,yellow,no,none,free,close,broad,red,tapering,equal,fibrous,smooth,red,red,partial,white,other,evanescent,purple,scattered,grasses
poisonous,bell,smooth,white,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,red,universal,yellow,one,sheathing,purple,several,urban
edible,knobbed,smooth,green,no,none,free,crowded,broad,gray,enlarging,equal,fibrous,fibrous,white,white,partial,white,one,cobwebby,brown,abundant,grasses
edible,convex,fibrous,brown,bruises,pungent,free,crowded,broad,chocolate,enlarging,equal,fibrous,scaly,white,white,partial,white,one,evanescent,brown,several,grasses
edible,flat,grooves,brown,bruises,none,descending,close,broad,pink,enlarging,bulbous,scaly,smooth,red,red,partial,orange,other,evanescent,brown,scattered,grasses
edible,conical,smooth,brown,no,pungent,notched,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,universal,white,one,sheathing,brown,clustered,meadows
poisonous,knobbed,fibrous,cinnamon,bruises,pungent,free,crowded,narrow,gray,enlarging,equal,fibrous,fibrous,orange,white,partial,brown,one,pendant,black,several,grasses
edible,convex,fibrous,white,no,none,free,crowded,narrow,pink,tapering,rhizomorphs,silky,fibrous,white,white,universal,white,one,none,brown,scattered,leaves
edible,flat,smooth,cinnamon,no,none,free,crowded,narrow,white,tapering,equal,smooth,smooth,white,white,universal,white,one,sheathing,white,several,grasses
poisonous,flat,scaly,buff,bruises,almond,descending,close,broad,black,enlarging,equal,scaly,smooth,brown,white,partial,white,other,pendant,black,several,meadows
edible,flat,smooth,yellow,no,musty,free,distant,broad,yellow,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,solitary,grasses
edible,convex,smooth,brown,no,none,notched,close,narrow,buff,tapering,bulbous,smooth,smooth,cinnamon,gray,universal,yellow,two,pendant,brown,several,woods
edible,convex,fibrous,gray,no,none,free,close,narrow,red,tapering,equal,silky,fibrous,white,red,partial,white,one,evanescent,brown,abundant,waste
edible,conical,grooves,gray,bruises,none,descending,close,broad,purple,tapering,bulbous,scaly,fibrous,white,orange,partial,white,one,pendant,green,clustered,paths
edible,bell,grooves,cinnamon,bruises,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,red,red,partial,white,other,large,purple,abundant,woods
edible,sunken,fibrous,red,bruises,none,free,close,broad,yellow,tapering,bulbous,smooth,fibrous,pink,pink,partial,brown,two,pendant,orange,solitary,paths
edible,flat,scaly,red,bruises,spicy,free,close,broad,green,tapering,bulbous,silky,smooth,yellow,pink,partial,white,two,none,yellow,solitary,woods
edible,flat,smooth,gray,no,none,notched,distant,broad,yellow,tapering,rooted,fibrous,smooth,cinnamon,cinnamon,universal,yellow,one,sheathing,brown,solitary,grasses
edible,convex,fibrous,gray,bruises,none,attached,close,broad,buff,tapering,bulbous,fibrous,fibrous,cinnamon,cinnamon,partial,white,two,evanescent,buff,numerous,woods
edible,knobbed,scaly,gray,bruises,pungent,descending,crowded,broad,gray,tapering,rhizomorphs,scaly,scaly,gray,white,partial,orange,one,pendant,white,several,woods
edible,convex,smooth,gray,no,foul,notched,crowded,broad,pink,tapering,club,smooth,smooth,white,orange,universal,yellow,one,evanescent,green,scattered,grasses
poisonous,flat,fibrous,brown,bruises,pungent,attached,crowded,broad,brown,enlarging,equal,fibrous,smooth,white,white,partial,brown,one,pendant,brown,clustered,grasses
edible,flat,grooves,brown,bruises,almond,descending,close,broad,brown,tapering,equal,scaly,scaly,gray,brown,partial,white,one,flaring,black,several,woods
poisonous,flat,smooth,gray,bruises,fishy,descending,close,broad,brown,enlarging,equal,smooth,scaly,white,gray,partial,orange,one,pendant,black,scattered,paths
edible,convex,smooth,white,bruises,foul,attached,close,broad,brown,enlarging,rhizomorphs,fibrous,fibrous,white,orange,partial,brown,one,cobwebby,chocolate,abundant,grasses
edible,convex,smooth,white,no,creosote,free,distant,narrow,chocolate,tapering,rooted,smooth,smooth,cinnamon,cinnamon,universal,yellow,one,sheathing,buff,solitary,meadows
edible,convex,scaly,cinnamon,no,almond,free,distant,broad,gray,tapering,cup,silky,silky,pink,pink,universal,white,one,none,orange,scattered,grasses
poisonous,sunken,fibrous,red,no,creosote,descending,close,broad,yellow,enlarging,bulbous,silky,silky,cinnamon,cinnamon,partial,white,one,flaring,buff,solitary,grasses
edible,flat,fibrous,green,bruises,spicy,attached,distant,broad,black,tapering,equal,fibrous,fibrous,yellow,yellow,partial,brown,two,evanescent,yellow,numerous,grasses
edible,flat,smooth,white,no,foul,free,crowded,narrow,pink,tapering,rhizomorphs,fibrous,smooth,orange,white,universal,yellow,one,zone,brown,scattered,grasses
edible,convex,fibrous,white,no,none,free,distant,broad,pink,tapering,bulbous,smooth,silky,pink,pink,universal,white,two,pendant,orange,several,woods
edible,flat,fibrous,yellow,bruises,none,free,crowded,broad,chocolate,enlarging,equal,smooth,fibrous,white,white,partial,brown,other,evanescent,chocolate,scattered,grasses
edible,conical,fibrous,brown,bruises,anise,attached,crowded,broad,brown,enlarging,club,fibrous,fibrous,buff,buff,partial,white,one,evanescent,brown,scattered,grasses
poisonous,flat,smooth,pink,no,almond,free,close,narrow,pink,enlarging,equal,smooth,smooth,brown,white,partial,yellow,one,sheathing,buff,solitary,urban
edible,convex,scaly,purple,bruises,none,free,close,broad,pink,tapering,cup,smooth,silky,pink,gray,partial,white,one,pendant,orange,solitary,woods
edible,flat,grooves,buff,bruises,almond,descending,close,broad,black,enlarging,club,scaly,scaly,brown,white,partial,white,one,pendant,brown,scattered,grasses
edible,flat,grooves,red,bruises,none,descending,crowded,broad,green,tapering,equal,scaly,scaly,pink,white,partial,orange,two,evanescent,orange,solitary,waste
edible,convex,smooth,white,bruises,none,free,distant,broad,buff,tapering,cup,smooth,smooth,white,gray,universal,white,two,zone,buff,several,woods
edible,flat,grooves,white,bruises,pungent,descending,crowded,broad,brown,enlarging,equal,smooth,scaly,white,white,partial,orange,one,large,white,clustered,waste
edible,convex,smooth,gray,no,creosote,free,distant,broad,pink,tapering,rooted,fibrous,smooth,white,cinnamon,partial,white,two,zone,buff,solitary,grasses
edible,convex,smooth,brown,no,musty,notched,close,narrow,purple,tapering,bulbous,smooth,smooth,pink,pink,universal,white,two,zone,orange,numerous,grasses
edible,sunken,scaly,gray,bruises,spicy,free,distant,broad,white,tapering,rooted,smooth,scaly,yellow,gray,partial,orange,two,large,yellow,solitary,urban
edible,convex,fibrous,gray,bruises,musty,attached,distant,broad,purple,enlarging,equal,smooth,scaly,gray,white,partial,orange,other,large,black,scattered,grasses
edible,flat,smooth,cinnamon,no,spicy,notched,crowded,broad,brown,tapering,equal,smooth,smooth,yellow,yellow,partial,white,one,sheathing,yellow,abundant,urban
edible,convex,smooth,buff,no,fishy,notched,close,broad,red,tapering,bulbous,smooth,smooth,gray,white,partial,yellow,other,pendant,chocolate,several,woods
edible,convex,fibrous,pink,bruises,none,free,close,broad,purple,tapering,equal,smooth,silky,red,red,partial,white,one,pendant,purple,several,urban
edible,convex,grooves,pink,bruises,fishy,free,close,broad,white,enlarging,equal,scaly,scaly,gray,gray,partial,orange,other,pendant,chocolate,scattered,woods
edible,convex,grooves,cinnamon,bruises,none,free,close,broad,black,enlarging,bulbous,smooth,scaly,red,gray,partial,white,one,flaring,brown,solitary,grasses
edible,flat,scaly,brown,no,creosote,free,crowded,narrow,buff,tapering,equal,silky,silky,white,white,partial,white,one,none,buff,scattered,grasses
edible,convex,scaly,green,bruises,none,descending,distant,broad,pink,tapering,bulbous,smooth,scaly,pink,pink,partial,white,two,pendant,orange,solitary,urban
edible,convex,scaly,pink,no,foul,free,crowded,narrow,brown,tapering,club,silky,silky,white,white,partial,white,one,evanescent,green,clustered,leaves
edible,convex,grooves,gray,bruises,none,descending,close,broad,red,tapering,equal,fibrous,smooth,white,white,partial,orange,one,large,purple,scattered,woods
edible,sunken,fibrous,yellow,bruises,none,free,distant,broad,green,tapering,equal,smooth,smooth,white,pink,partial,brown,one,evanescent,orange,abundant,grasses
edible,flat,scaly,gray,bruises,none,free,close,narrow,pink,tapering,bulbous,silky,smooth,white,gray,universal,white,one,pendant,chocolate,scattered,woods
poisonous,convex,scaly,cinnamon,bruises,pungent,free,close,narrow,black,tapering,cup,smooth,silky,cinnamon,white,partial,white,one,none,brown,scattered,paths
edible,convex,smooth,purple,no,fishy,free,close,narrow,pink,tapering,bulbous,smooth,smooth,gray,gray,universal,white,other,pendant,black,several,urban
edible,flat,grooves,gray,bruises,none,descending,close,broad,chocolate,enlarging,equal,scaly,scaly,red,red,partial,orange,one,evanescent,purple,scattered,paths
edible,conical,smooth,gray,no,pungent,notched,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,universal,yellow,one,zone,brown,clustered,grasses
